epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,211.743,1.82796,2.72721,2.13128,1.68657,0.48419,0.23305,0.24854,0.10103,0.58411,0.23862,0.27009,0.0971,2.13349,2.60559,2.05824,1.78245,0.00053225,0.00053225,0.00053225
31,218.767,1.78395,2.62916,2.10437,1.65862,0.54812,0.18581,0.23578,0.09546,0.52083,0.1876,0.22468,0.07084,2.13654,2.54975,2.02271,1.82306,0.0005075,0.0005075,0.0005075
32,225.748,1.8408,2.74345,2.10823,1.67812,0.48032,0.26276,0.24242,0.09278,0.50073,0.23046,0.24117,0.08393,2.15213,2.58879,1.99531,1.8089,0.00048275,0.00048275,0.00048275
33,232.736,1.77014,2.63575,2.11154,1.64058,0.5041,0.2199,0.22448,0.0899,0.60727,0.22169,0.25743,0.08711,2.14777,2.64216,1.97692,1.82064,0.000458,0.000458,0.000458
34,239.848,1.71696,2.54241,1.95597,1.59087,0.79518,0.18321,0.23073,0.09287,0.75795,0.22781,0.24017,0.08689,2.09657,2.73226,2.03578,1.7868,0.00043325,0.00043325,0.00043325
35,246.833,1.77115,2.55735,2.07266,1.63524,0.77227,0.20156,0.24756,0.08972,0.798,0.19717,0.24068,0.07937,2.13627,2.67235,2.05611,1.80789,0.0004085,0.0004085,0.0004085
36,253.744,1.78509,2.51309,2.05672,1.65695,0.74444,0.27412,0.26035,0.09853,0.79043,0.2464,0.27256,0.09064,2.1639,2.53836,1.96753,1.80035,0.00038375,0.00038375,0.00038375
37,260.835,1.68895,2.49247,2.02111,1.57699,0.72197,0.25454,0.25353,0.09039,0.73879,0.26885,0.27364,0.08793,2.1723,2.54935,2.06169,1.78117,0.000359,0.000359,0.000359
38,267.784,1.71682,2.54441,1.94858,1.60146,0.69997,0.20076,0.2404,0.0911,0.74186,0.21212,0.25164,0.08112,2.16431,2.52962,1.9544,1.77197,0.00033425,0.00033425,0.00033425
39,274.787,1.69112,2.48294,1.87984,1.56681,0.49209,0.26894,0.2732,0.09889,0.50914,0.2821,0.2726,0.0977,2.15192,2.51464,1.94871,1.78776,0.0003095,0.0003095,0.0003095
40,281.771,1.68886,2.50935,1.98475,1.60993,0.26229,0.31163,0.28591,0.09996,0.25364,0.30027,0.26284,0.08642,2.12584,2.53909,2.02279,1.76451,0.00028475,0.00028475,0.00028475
41,302.156,1.78021,2.26841,1.97427,1.65164,0.50052,0.26307,0.27674,0.09935,0.50197,0.28469,0.26304,0.09297,2.09227,2.59884,1.95118,1.73087,0.00026,0.00026,0.00026
42,308.991,1.84627,2.2823,1.99062,1.71094,0.76183,0.24621,0.26729,0.09899,0.76674,0.26894,0.27931,0.09826,2.10057,2.54037,2.02456,1.76315,0.00023525,0.00023525,0.00023525
43,315.833,1.66841,2.16505,1.93248,1.63178,0.53146,0.24183,0.25666,0.09599,0.51711,0.25681,0.2827,0.09716,2.12635,2.42747,1.97418,1.76292,0.0002105,0.0002105,0.0002105
44,322.552,1.79319,2.22355,1.94007,1.69876,0.6685,0.19637,0.26014,0.09915,0.67429,0.20076,0.27068,0.0919,2.07373,2.41175,1.93481,1.72983,0.00018575,0.00018575,0.00018575
45,329.493,1.72773,2.24886,1.93455,1.68448,0.67772,0.19087,0.25409,0.10595,0.68977,0.19949,0.25606,0.08257,2.08837,2.43544,1.93558,1.75254,0.000161,0.000161,0.000161
46,336.389,1.696,2.21648,1.88884,1.65148,0.68195,0.19792,0.261,0.10344,0.69765,0.2106,0.27341,0.09347,2.07269,2.44862,1.91149,1.72758,0.00013625,0.00013625,0.00013625
47,343.397,1.70613,2.18091,1.86091,1.63915,0.65645,0.20335,0.25483,0.10122,0.67288,0.21651,0.26986,0.09622,2.07419,2.44552,1.91393,1.73025,0.0001115,0.0001115,0.0001115
48,350.252,1.64101,2.16132,1.82347,1.61032,0.64885,0.20774,0.26085,0.0992,0.64885,0.20774,0.26179,0.09417,2.06167,2.47235,1.94138,1.72848,8.675e-05,8.675e-05,8.675e-05
49,357.113,1.64346,2.14066,1.77843,1.60827,0.64871,0.20774,0.25685,0.10067,0.65528,0.21212,0.26381,0.09113,2.0642,2.4986,1.95343,1.71912,6.2e-05,6.2e-05,6.2e-05
50,363.813,1.72945,2.17857,1.87594,1.64162,0.65721,0.20774,0.26227,0.1016,0.66799,0.21651,0.27057,0.09058,2.0586,2.51492,1.95342,1.72314,3.725e-05,3.725e-05,3.725e-05
